Country,Cluster,Objective,Activity,Indicator,Unit,Nigeria_Target,Adamawa_Target,Bauchi_Target,Borno_Target,Gombe_Target,Kaduna_Target,Kano_Target,Nasarawa_Target,Plateau_Target,Rivers_Target,Taraba_Target,Yobe_Target,Zamfara_Target
Nigeria,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Identification of areas and the most vulnerable population to malnutrition, and joint analysis WASH/ malnutrition / aggravating factors link to the WASH sector (diarrhoea)",Number of areas with joint analysis focusing on population most at risk of malnutrition for which WASH actions can be conducted as a priority,Areas,6,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","In collaboration with healthcare stakeholders , gathering, investigation and analysis of WASH/epidemiology data supporting WASH response orientation","Number of areas where, since from the outbreak beginning of the epidemic, epidemiological data on cholera is analysed and used to guide the response of WASH actors",Areas,4,0,0,0,,,0,0,0,0,0,,
Nigeria,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Monitoring and evaluation on functionality of WASH package (residual chlorine, VIP latrines etc.) involving the most vulnerable","Number of people who have benefited from a project involving the most vulnerable people in the monitoring and evaluation of the functionality of a WASH package (residual chlorine, VIP latrines etc.)",People,10000,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Promoting the creation of the local water commission or other consultative bodies including the most vulnerable users,"Number of consultative bodies (local water commission or committee, etc.) created that include the most vulnerable users at the decision-making level (potentially from project steering committees, maintenance committees, etc.)",Consultative Bodies,10,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support to national authorities for data collection and analysis on access to water and sanitation,"Number of areas with humanitarian organisations' operations that have available data on access to water and sanitation, is available",Areas,4,1,1,1,1,,,,,,,,
Nigeria,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Contingency plan for rapid response capabilities prepared,Number of agencies involved in the development of a WASH contingency plan that is regularly updated and that includes simulation exercise,Agencies,20,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Sustainable WASH strategies in urban and rural areas at risk for cholera,Number of cholera high-risk areas where sustainable WASH strategies are put in place to protect vulnerable,Areas,50,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Train women and men in the areas of building, operationalization and maintenance of all types of water and sanitation facilities: including wells, pumps, water tanks, distribution systems, toilets and showers","Number of women and men who gained skills on building, operationalization and maintenance of water and sanitation facilities",People,50000,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Update multi-sector national plan against cholera including WASH component,Number of plans on WASH/cholera updated and disseminated,Plans,10,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",WASH activities in targeted communities based on nutrition indicators / diarrhoea,Number of people receiving improved WASH access programmes,People,27000,0,0,0,0,,,,0,,,0,0
Nigeria,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"“Safe access to drinking water"" activities in WASH programmes in displacement sites",Number of drinking water sources with safe access,Water Points,150,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Access to water and sanitation programmes for the affected populations at community level,Number of affected population with access to safe drinking water (Global WASH Cluster W 2-4),People,252000,0,0,0,,,0,,0,0,,0,
Nigeria,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Conduct hygiene promotion activities targeting both women and men,Number of women and men having improved knowledge on water and hygiene related diseases,People,368120,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Construction of sanitation facilities in emergency affected communities,Number of affected population (disaggregated by sex and age) using sanitary latrines,People,1000,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Consult women and girls at all stages of the project with regard to the design and location of water points, showers and toilets to reduce the waiting time and incidents of violence. Ensure that the evaluation teams and translation include female staff",Number of girls and boys spending less than 20 minutes to collect water/queuing.,Children,50000,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Consult women and girls at all stages of the project with regard to the design and location of water points, showers and toilets to reduce the waiting time and incidents of violence. Ensure that the evaluation teams and translation include female staff",Number of women spending less than 20 minutes to collect water/queuing.,Women,45000,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Functional package WASH in displacement sites, host communities / villages (drinking water, culturally appropriated hygienic defecation with safe gender separation, key inputs with hygiene promotion).","Number girls and boys using minimum WASH package (water drinking , culturally appropriate safe hygienic defecation with separation type , key inputs with hygiene promotion)",Children,152240,0,0,0,,,,,0,,,0,
Nigeria,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Functional package WASH in displacement sites, host communities / villages (drinking water, culturally appropriated hygienic defecation with safe gender separation, key inputs with hygiene promotion).","Number women and men using minimum WASH package (water drinking , culturally appropriate safe hygienic defecation with separation type , key inputs with hygiene promotion)",People,118160,0,0,0,0,,0,,0,,,0,
Nigeria,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Rehabilitation of access to WASH services (schools, health centres) in areas of displacement",Number of schools and/or health centers with functional WASH services in areas of displacement,Schools And Hospitals,61,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthening access to WASH in health centers / nutrition centers targeted on the basis of nutrition indicators and aggravating factors (diarrhoea),Number of people who benefited from WASH packages at CMAM/nutrition centres,People,57600,,,,,,,,,,,,
