Country,Cluster,Objective,Activity,Indicator,Unit,Niger_Target,Agadez_Target,Diffa_Target,Dosso_Target,Maradi_Target,Niamey_Target,Tahoua_Target,Tillabery_Target,Zinder_Target
Niger,Logistics,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Maintain the humanitarian air transportation services for passengers and cargo,Number of ticketed passengers transported per month,People,8400,,,,,,,,
Niger,Logistics,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Maintain the humanitarian air transportation services for passengers and cargo,Number of tons of cargo transported per month.,Tons,5,,,,,,,,
Niger,Logistics,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Maintain the humanitarian air transportation services for passengers and cargo,Number of user organisations,Numbers,135,,,,,,,,
Niger,Logistics,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Maintain the humanitarian air transportation services for passengers and cargo,Occupancy rate of aircrafts,Percentage,75,,,,,,,,
Niger,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Contextualise WASH strategies in NUT at country level and produce a national guiding note,Existing a guidance note based on the regional WASH strategy on nutrition (contextualisation),Documents,,,,,,1,,,
Niger,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Identify the areas and the most vulnerable to malnutrition populations ; and analyse joint WASH/malnutrition/aggravating factors linked to the sector,Joint WASH/nutrition/ aggravating factors assessments to help identify areas and populations at risk of being affected by malnutrition and for which priority WASH actions can be undertaken,Joint Analyses,,,,,,1,,,
Niger,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Identifying and mapping of areas at risk of disasters (primary floods),Map of flooded areas and available WASH infrastructures,Maps,,,,,,1,,,
Niger,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Identifying and mapping of areas, populations, practices and periods of high risk of cholera (transmission context)",Joint WASH/health assessments to help identify areas and populations at risk of contracting cholera,Joint Analyses,,,,,,1,,,
Niger,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Contingency plan to fight against floods, including rapid WASH response capacities (HR, inputs, seasonal reinforcement)",A multi-sectoral contingency plan exists and is regularly updated,Contingency Plans,,,,,,1,,,
Niger,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Contingency plan to fight cholera/malaria, including early WASH/Health response capacities (HR, inputs, seasonal reinforcement)",A multi-sectoral contingency plan exists and is regularly updated,Contingency Plans,,,,,,1,,,
Niger,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Defining national multi-sectoral strategies to fight against cholera, including a WASH component",WASH/cholera and WASH/malaria strategy and advocacy documents exist and are circulated,Documents,,,,,,1,,,
Niger,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","In collaboration with health partners, collection, investigation and analysis of WASH/epidemiological data for the direction of the WASH response","Since the beginning of the outbreak, epidemiological data on cholera are analysed and help direct the response of WASH partners",Joint Analyses,,,,,,7,,,
Niger,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen the access to WASH in health facilities/nutrition centers in areas targeted based on malnutrition indicators,Number of nutrition centers for which programmes to improve the access to WASH have been implemented in the framework of early response /early recovery programmes,Nutritional Centers,,,,,132,,180,40,138
Niger,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Sustainable WASH strategies in urban and rural areas at risk of cholera,Sustainable WASH strategies are implemented in areas and for populations at high risk of contracting cholera,People,,,77000,,70000,,70000,175000,105000
Niger,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Taking into account the access to water and to sanitation for the choice of planned host sites,Planned host sites defined in the contingency plan explicitly take into account predefined ways to access to water and sanitation,People,,50,1250,2250,1250,1450,1250,1250,1250
Niger,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",WASH actions in communities targeted based on malnutrition indicators/diarrhea,"Number of men, women, boys and girls for whom improvement programmes to access WASH have been implemented in the framework of early response/early recovery programmes",People,,4500,3998,7000,36326,,44082,29626,37798
Niger,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Functional WASH package in assembly sites for people affected by floods,"Number of people affected by the floods who received the minimum WASH package (drinking water, sanitation, hygiene supplies, key messages on hygiene/advices on behaviours to adopt) in assembly sites",People,,50,1250,2250,1250,1450,1250,1250,1250
Niger,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Minimum EHA package for affected populations in host communities,"Number of affected people (displaced and host families or refugees) having received the minimum WASH package (drinking water, hygiene key messages on hygiene/advices in behaviours to adopt)",People,,,52500,,,,25825,25825,
Niger,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Minimum water-hygiene and sanitation package for populations in communities affected by floods,"Number of people affected by floods who received the minimum WASH package (drinking water, sanitation, hygiene supplies, key messages on hygiene/advices in behaviours to adopt)",People,,2125,8125,14125,10125,8125,8125,8125,6125
Niger,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Setting-up of a WASH in Nut package for malnourished couples/mothers-children (communities),"Number of malnourished children/accompanied receiving the minimum WASH package at home (water treatment, hand washing and key messages on hygiene/advices on behaviours to adopt)",Numbers,,4500,3998,7000,36326,,44082,29626,37798
Niger,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Setting-up of WASH in Nut packages in nutrition/health centers,"Number of nutritional centers (CRENI/CRENAS) providing the minimum WASH package (drinking water with residual chlorine, disinfectant soap for hands and food utensils, hand washing facilities, access to hygienic latrines, key messages on hygiene/advices in behaviours to adopt)",Nutritional Centers,,,,,132,,180,40,138
Niger,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Set-up a WASH in Nut package for malnourished couples/mothers-children (nutrition centers),Number of children admitted for a SAM treatment who received a WASH kit and the broadcast of key messages on hygiene/advices on parents or care providers’ behaviours (households’ water treatment and hygiene supplies,Children,,4500,3998,7000,36326,,44082,29626,37798
Niger,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Specific urban and rural strategies (water and sanitation) for actions to fight cholera,"Number of people having received a basic hygiene kit, which has soap and a product to treat water",People,,,77000,,70000,,70000,175000,105000
Niger,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Specific urban and rural strategies (water and sanitation) for actions to fight cholera,Number of people having received information about cholera and key prevention and hygiene promotion measures,People,,,77000,,70000,,70000,175000,105000
Niger,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen the cross-border coordination and intersectoral mechanism (WASH/Health) in affected or high prone-outbreak spaces,Number and frequency of multi-sectoral cross-border coordination meetings in affected or high prone-outbreak spaces,Meetings,,,1,,1,1,1,1,1
Niger,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,WASH package in health facilities receiving cholera cases (isolation and sanitary barriers),Absence of transmission in facilities managing cholera cases,CTC/UTC,,,3,,7,3,8,6,6
Niger,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Analyse livelihoods support needs,Number of conducted surveys,Surveys,,,1,,,,1,1,
Niger,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Improvement of the food security and aid monitoring,Number of food distribution monitoring (PDM) carried-out and written reports,Reports,,,8,,,0,9,9,
Niger,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Mapping and analysis of vulnerable communities living in areas with global acute malnutrition,Number of nutrional surveys conducted in accordance with the recommended standards,Surveys,,,3,,,,3,3,
Niger,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Ensure the reduction of gender-based violence and the improvement of the quality of the response,Number of VBG survivors benefiting from a support and counselling,People,,,54,,,54,54,54,
Niger,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Promote a peaceful coexistence with local communities,Number of projects implemented in favour of local and displaced communities,Projects,,,9,,,,2,6,
Niger,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen livelihoods,"Number of people receiving a support to undertake agricultural, livestock breeding or small business activities",People,,,6000,,,,53000,3000,
Niger,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Access to basic services (EHA, education)",Number of PoC registered in primary education,People,,,,,,1500,4500,12300,
Niger,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Access to basic services (EHA, education, health)",Number of health structures equipped and rehabilitated,Establishments,,,10,,,,2,3,
Niger,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Build and maintain shelters,Number of families benefiting from a shelter support,Households,,,20000,,,100,2800,7000,
Niger,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Improve food security,Number of kcal distributed per person and per day,kCAL,2100,,,,,,,,
Niger,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Maintain and implement reception, registration and installation systems for refugees (sites, camps, reception zones)","Number of reception centers created, improved or maintained",Centers,,,3,,,1,2,3,
