Country,Cluster,Objective,Activity,Indicator,Unit,Mali_Target,Bamako_Target,Gao_Target,Kayes_Target,Kidal_Target,Koulikoro_Target,Mopti_Target,Segou_Target,Sikasso_Target,Tombouctou_Target
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Creation of community relays,Number of community relays comprised of men trained,Men,,100,150,100,55,100,140,65,35,145
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Creation of community relays,Number of community relays comprised of women trained,Women,,100,150,100,55,100,140,65,35,145
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Development/rehabiliation of water supply systems (AEP, AES, SHVA)","Number of water supply systems (AEP, AES, SHVA) created",Facilities,,,10,,2,,4,3,,22
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Development/rehabiliation of water supply systems (AEP, AES, SHVA)","Number of water supply systems (AEP, AES, SHVA) rehabilitated/repaired",Facilities,,,15,,6,,16,4,,17
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Development/rehabilitation of water points (PMH/protected wells),Number of water points (PMH/wells) created,Facilities,,,55,,30,,125,75,,38
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Development/rehabilitation of water points (PMH/protected wells),Number of water points (PMH/wells) rehabilitated/repaired,Facilities,,,250,,50,,140,140,,120
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implementation of minimum WASH packages in health facilities,Number of health facilities (CSCom/CSRef) benefiting from the minimum WASH package,Health Facilities,,20,40,20,20,20,50,50,20,40
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implementation of the ATPC approach,Number of triggered villages,Villages,,,15,20,15,50,100,80,20,25
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implementation of the ATPC approach,Number of villages certified FDAL,Villages,,,15,20,15,50,100,80,20,25
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Implementation/ revitalisation of water points management committees and systems (AEP,AES,SHVA)",Number of AEP/AES/SHVA management structure implemented or revitalised,Commitees,,,34,,7,,19,6,,38
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Implementation/ revitalisation of water points management committees and systems (AEP,AES,SHVA)",Number of water points management committees (PMH/wells) implemented or revitalised,Commitees,,,305,,80,,265,195,,158
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implemention of minimum WASH packages in schools (learning spaces),Number of school benefiting from the minimum WASH package,Schools,,0,40,10,20,10,100,80,10,50
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Training of artisans-repairers,Number of artisans trained,Artisans,,,132,6,20,45,38,25,,72
Mali,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Building of latrines,Number of latrines built,Latrines,,181,500,94,99,110,277,330,100,320
Mali,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Building of latrines,Number of people using improved latrines,People,,4530,7350,2360,2480,2740,6960,8260,2500,7990
Mali,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Hygiene promotion for the prevention of diarrheal diseases and of malnutrition,Number of men whom hygiene promotion messages have reached,Men,,43700,40500,9700,11500,12500,40500,24500,10000,43900
Mali,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Hygiene promotion for the prevention of diarrheal diseases and of malnutrition,Number of women whom hygiene promotion messages have reached,Women,,36900,65800,24400,13770,26570,51970,50100,12000,67900
Mali,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Temporary water distribution (water trucking, chlorination)",Number of people having a access to temporary water sources,People,,9050,7500,4730,4950,5480,13840,16520,500,15980
Mali,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,WASH kits distribution,Number of households having received a WASH kit,Households,,1400,13000,970,2000,815,5000,9000,500,15000
Mali,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,WASH kits distribution,Number of mother-child couple having received a WASH-in-Nutrition kit,Children,,20320,6260,15605,13,27499,20483,22354,15859,7607
