Parent Organization,Subsidiary Organization,Acronym,Org Type,Country of origin,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Name/Type of response,Capacity,Organization Website,Organization Facebook,Organization Twitter,Donation Links,News and Source Links
Islamic Reliefl,Islamic Relief USA,,NGO - International,USA,Assessments,Early Recovery,Shelter & NFI,,,"Monitoring and assessing situation on the ground. Pending project is Kathmandu Valley Tent Sheltering - expecting to provide tents and plastic sheeting for 3,570+/- (Source: http://www.irusa.org/emergencies/nepal-earthquake/)",,http://www.irusa.org/,https://www.facebook.com/IslamicReliefUSA,https://twitter.com/IslamicRelief,https://secure2.convio.net/irusa/site/SPageNavigator/emergency.html?_ga=1.79447316.1020513682.1430368427,http://www.cnn.com/2015/04/25/world/nepal-earthquake-how-to-help/index.html
Japan International Coordination Agency,,JICA,NGO - International,Japan,Shelter & NFI,,,,,"Relief goods worth 25 million yen (tents, blankets, etc)","The team consists of 46 members: the team leader, the deputy team leader, eight doctors, 16 nurses, two radiologists, two pharmacists, two clinical engineers, two clinical examiners, four medical personnel and eight logisticians.",http://www.jica.go.jp/english/,https://www.facebook.com/jicatokyo?ref=br_rs,https://twitter.com/jica_direct,,http://reliefweb.int/report/nepal/emergency-assistance-nepal-response-earthquake
Jewish Federations of North America,,,NGO - International,USA,Funding,,,,,Collecting funds to distribute to partner organizations for incountry work. ,,http://fedweb.fedwebpreview.org/nepal,https://www.facebook.com/jfederations,https://twitter.com/jfederations,https://secure-fedweb.jewishfederations.org/page/contribute/nepal-relief-fund,"http://www.cleveland.com/beachwood/index.ssf/2015/05/jewish_federation_collects_for.html
http://jamieleung.github.io/appeals-nepal/"
Jhpiego,Johns Hopkins University,,NGO - International,USA,Health,,,,,"Jhpiego has established the Nepal Emergency Fund for Mothers and Newborns, a campaign that will donate 100% of the proceeds to work with Nepal in re-establishing critically needed care.",,http://www.jhpiego.org/,https://www.facebook.com/Jhpiego,https://twitter.com/jhpiego,https://secure2.convio.net/jhp/site/Donation2;jsessionid=A75133A28325195B748144413EF11C4F.app262a?idb=582321111&DONATION_LEVEL_ID_SELECTED=1&df_id=1861&1861.donation=form1&idb=0,http://www.interaction.org/crisis-list/interaction-members-respond-nepal-earthquake
Kaha,,Kaha,NGO - Local,Nepal,Logistics,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://kaha.co/#/app/section/volunteer,NA,NA,,http://nepalitimes.com/page/nepal-earthquake-2015-relief
Karma Flights,,,NGO - International,USA,Assessments,Early Recovery,Health,,,"As of Aril 29, the Whole Karma flights team has reached 35 km inland from Gorkha. We are the first team with aid here. We had to take a tractor the last few km to get the supplys and last volunteers in. Very very difficult road. Villagers welcomed us with dal baht. The village seems to have extensive damage. We are all safe and the medical team will startwork tomorrow.

We set up a basecamp at Chanaute (28.243,84.3756) and the medical team reached the local area and as far as Saurpani (28.130171,84.705971). We found no serious injuries, most in serious condition have been airlifted from this area. Almost all building have collapsed or are unlivable. People need basic aid. Tarps and tents for shelter are the most needed as are cooking utensils, blankets, clothes food, chargers for their phones, headlamps and batteries for headlamps etc. The road is very bad, almost unpassable by 4WD and further up the valley is blocked and dangerous further up the valley","Karmaflights.org is on the ground and one of the main organizations distributing supplies in the Gorka region, close to the epicenter of the earthquake. All donations made will be funneled to the Karmaflights team, a project of the Cloudbase Foundation, to distribute in Nepal.",http://www.karmaflights.org,"https://www.facebook.com/karmaflights
https://www.facebook.com/timexley",,,HumanityRoad SitRep
Karuna Foundation Nepal,,,NGO - International,,Early Recovery,Health,,,,"AIN data - not on list of orgs, however",,,,,,
Kathmandu Living Labs,,KLL,NGO - Local,Nepal,Telecom,Assessments,,,,"Kathmandu Living Lab is operating a platform showing hundreds of community needs and offers of assistance based on the work of the Standby Taskforce, Humanitarian OpenStreetMap Team, and many others.",,http://kathmandulivinglabs.org/earthquake/,https://www.facebook.com/kathmandulivinglabs,https://twitter.com/KTMLivingLabs,https://www.paypal.com/us/cgi-bin/webscr?cmd=_flow&SESSION=W6Ny7mkzmto15FglZ_LgcBu40YKSpaXVolZ_yAzyPL4Ic58-01_0_zXth20&dispatch=5885d80a13c0db1f8e263663d3faee8d96f000117187ac9edec8a65b311f447e,"https://twitter.com/pierzen/status/592710035727360001
http://kathmandulivinglabs.org/earthquake/"
Khalifa (bin Zayed Al Nahyan) Foundation,,,NGO - International,UAE,Early Recovery,Nutrition,,,,"As a first step, the foundation has sent rescue workers to India and another team to Nepal, and will work at full speed to secure convoys of emergency relief for those affected, with the purchase of relief materials from the Indian market which can be quickly shipped to Nepal. The delegation that went to Nepal started field work immediately and a preliminary damage assessment has been made, coordinated directly with the UAE Embassy in India to work on securing the immediate relief and access to the affected people as soon as possible.",,http://www.khalifafoundation.ae/new/index.php?module=home&language=0,https://www.facebook.com/KBZFoundation,https://twitter.com/khalifafoundat,http://reliefweb.int/report/nepal/khalifa-foundation-deliver-urgent-humanitarian-assistance-people-nepal,http://www.khaleejtimes.com/nation/inside.asp?section=nationgeneral&xfile=/data/nationgeneral/2015/April/nationgeneral_April371.xml
Kidasha,,,NGO - International,United Kingdom,Health,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://www.kidasha.org/,https://www.facebook.com/KidashaNepal,https://twitter.com/KidashaNepal,http://kidasha.org/donate.html#Earthquake,http://www.ft.com/cms/s/0/a5a2fc94-eb31-11e4-9058-00144feab7de.html#slide0
Kirkens Nødhjelp,,KN,NGO - International,Norway,WASH,,,,,"Will deploy emergency team, WASH cluster",To be determined,https://www.kirkensnodhjelp.no/en/,https://www.facebook.com/kirkensnodhjelp,https://twitter.com/KirkensNodhjelp,,http://www.newsinenglish.no/2015/04/27/norway-rushes-aid-to-quake-victims/
LandsAid,,,NGO - International,Germany,Early Recovery,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://www.landsaid.org,,,,
Laxmi Pratisthan Memorial Foundation,,,NGO - Local,Nepal,Food Security,Health,,,,"As of May 4, Laxmi Pratisthan mobilised a team of 10 members including 2 doctors. The team coordinates with the local support teams. It has also received funds from GMIN UK. See GMIN UK.
Laxmi Pratisthan is preparing to go to one of the most badly hit areas of Kavre and Sindupalchowk districts to distribute vital relief packages with vital foods and basic medicines. This includes Rice (15 kg), Lentils (3kg), Beaten Rice (5kg), Sugar (1kg), Dalmoth (0.5kg), Salt (1pkt), Medicines (Paracetamol/Ibuprofen: 1 file each); ORS (Jeevan Jal) 10 Pkts. The relief package will be prioritized to the remote areas of Kavre and Sindhupalchwok districts. ","Relief packages containing - Rice (15 kg), Lentils (3kg), Beaten Rice (5kg), Sugar (1kg), Dalmoth (0.5kg), Salt (1pkt), Medicines (Paracetamol/Ibuprofen: 1 file each); ORS (Jeevan Jal) 10 Pkts.",http://www.laxmipratisthan.org/index.html,https://www.facebook.com/lpratisthan,NA,"http://www.laxmipratisthan.org/bhukamp.pdf
http://www.laxmipratisthan.org/donation.html
https://www.facebook.com/lpratisthan/posts/1046453062049083?pnref=story","http://www.laxmipratisthan.org/bhukamp.pdf
http://www.laxmipratisthan.org/aboutus.html
https://www.facebook.com/lpratisthan/posts/1046453062049083?pnref=story"
Legal Aid Group of Kathmandu School of Law,Sister organization: Center for Legal Research and Resource Development,KSL,NGO - Local,Nepal,Early Recovery,Logistics,,,,"The Legal Aid Group of Kathmandu School of Law (KSL), Dadhikot, will assist earthquake victims who have lost legal documents for free.  They can provide legal advice for renewing and management of documents such as citizenship, passport, land and house documents, voters identity card, etc. primarily within affected areas inside as well as outside Kathmandu Valley. ",Law student volunteers offering counsel within Nepal,http://www.ksl.edu.np/images/Ebulletin/Ebulletin_48.htm#1,,https://twitter.com/kusl2014,,http://www.dcnepal.com/news/press_release_english.php?nid=7338
Life for Relief & Development,,,NGO - International,USA,Funding,,,,,"Life’s emergency response team for Nepal plans to distribute tents, blankets, food, bottled water, medical supplies and medicines to thousands of families affected by the earthquake.",,http://www.lifeusa.org/,https://www.facebook.com/pages/Life-for-Relief-and-Development-%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9-%D9%84%D9%84%D8%A5%D8%BA%D8%A7%D8%AB%D8%A9-%D9%88%D8%A7%D9%84%D8%AA%D9%86%D9%85%D9%8A%D8%A9/77240492900?fref=ts,https://twitter.com/lifeforrelief,https://secure2.convio.net/lfrad/site/Donation2;jsessionid=35E6E83699B58A342CEBDB4170202DD0.app261a?idb=1424168324&df_id=3780&3780.donation=form1&idb=0,http://www.interaction.org/crisis-list/interaction-members-respond-nepal-earthquake
Live to Love International,,,NGO - International,USA,Search & Rescue,,,,,"400 volunteers on the outskirts of Kathmandu. Setting up campsites on and around the headquarters at Druk Amitabha Mountain, the volunteers are distributing tents, food, and medicine from the on-site medical clinic (Druk Pema Karpo Clinic).",,http://www.livetolove.org/,https://www.facebook.com/LiveToLoveInternational,https://twitter.com/LiveToLoveIntl,http://www.livetolove.org/what-s-happening-sidebar/277-help-us-help-nepal,https://www.facebook.com/media/set/?set=a.840579895978375.1073741887.177160615653643&type=1
LUMANTI,,,NGO - Local,Nepal,Shelter & NFI,,,,,"Coordinating in assessment, dealing with relief and other support in Kathmandu valley",,http://lumanti.org.np/cms/,https://www.facebook.com/lumanti.shelter,NA,,
Lutheran World Federation,,LWF,NGO - International,International,Funding,Shelter & NFI,WASH,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,https://www.lutheranworld.org/news/nepal-earthquake-leaves-massive-destruction,,,,
Lutheran World Relief,,LWR,NGO - International,International,Funding,Shelter & NFI,WASH,,,"LWR is coordinating with the UNHRD warehouse in Dubai to ship over 9,240 Quilts, 1,000 Personal Care Kits and 100 water filtration units for distribution in Kathmandu. It has committed an initial $500,000 to the response and is actively raising funds for additional programming. The planned response will work with LWR’s long term partner COPPADES and focus on NFI distributions and cash transfers in Lamjung District, and assessing the needs in Gorkha to see about a similar response there. (Source: http://programs.lwr.org/atf/cf/%7B8ed291f8-702d-4e2c-9821-68d75e0105d2%7D/2015-NEPALEARTHQUAKE-SITREP5.PDF)

LWR began working in Nepal in 2009 to improve food security in for indigenous, Dalit and marginalized communities. Despite recent declines in poverty, Nepal remains one of the poorest countries in the world. Rural communities often struggle with household food security and are extremely vulnerable to frequent natural hazards, including flash floods, landslides and earthquakes. Poverty affords communities few resources to prepare for or mitigate the effects of these hazards and even fewer resources to recover, which can destroy development gains. LWR promotes resilience and long-term development in the communities in which it works by better preparing communities for natural hazards and helping families realize food security and savings. In Nepal, LWR currently works with local partners on agriculture, food security, climate change adaptation and disaster risk reduction (DRR) projects. LWR's work focuses on areas of western Nepal.",,http://lwr.org/,https://www.facebook.com/LuthWorldRelief,https://twitter.com/LuthWorldRelief,https://www.kintera.org/site/c.dmJXKiOYJgI6G/b.9274577/k.9A5A/Nepal_Earthquake/apps/ka/sd/donor.asp?c=dmJXKiOYJgI6G&b=9274577,"http://www.cnn.com/2015/04/25/world/nepal-earthquake-how-to-help/index.html
http://programs.lwr.org/atf/cf/%7B8ed291f8-702d-4e2c-9821-68d75e0105d2%7D/2015-NEPALEARTHQUAKE-SITREP5.PDF"
Mahindra & Mahindra,,,Corporation,India,Early Recovery,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://www.mahindra.com/,https://www.facebook.com/pages/Mahindra-Mahindra/106008852773256?nr&nr_page_id=106074692757818#,https://twitter.com/mahindrarise,,http://www.mahindra.com/News/Press-Releases/1430111609
Malteser International,,,NGO - International,International,Assessments,WASH,Health,,,"Malteser International is currently assessing the situation in regions outside of the capital. WASH health specialists are initiating aid measures in Gorkha and in the Dhulikhel district, which was also heavily affected. Malteser medical specialists are treating patients at the German embassy and at the airport in Kathmandu. (Malteser)",,,,,,https://www.cfe-dmha.org/LinkClick.aspx?fileticket=eOgeZ6WcZLw%3d&portalid=0
Management Sciences for Health,,,?,?,Health,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://www.msh.org/,https://www.facebook.com/ManagementSciencesForHealth,https://twitter.com/MSHHealthImpact,,
MAP International,,,NGO - International,International,Health,,,,,MAP International is responding to earthquake victims on the ground by providing critical medical treatment and supplies like antibiotics and wound care items. ,,http://www.map.org/,https://www.facebook.com/mapintl,https://twitter.com/mapintl,https://www.map.org/nepal-quake,http://www.cnn.com/2015/04/25/world/nepal-earthquake-how-to-help/index.html
MapAction,,,NGO - International,Virtual,Logistics,Assessments,,,,Mapping: http://www.mapaction.org/deployments/depldetail/240.html,,http://www.mapaction.org/,https://www.facebook.com/mapaction,https://twitter.com/mapaction,http://www.mapaction.org/donate,http://reliefweb.int/map/nepal/nepal-earthquake-kathmandu-usar-sites-visited-ongoing-28-apr-2015
Marie Stopes International,,,NGO - International,?,?,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,,,,,
Massachusetts General Hospital,,,Corporation,USA,Health,,,,,"A group of nurses and physicians from Massachusetts General Hospital plan to arrive in Kathmandu on Saturday, with all the basic equipment. The team will join International Medical Corps, that has teams across the country.",,,,,,"https://commonhealth.wbur.org/2015/04/mgh-nepal-earthquake
Humanity Road SitRep"
Medair,,,NGO - International,Switzerland,Early Recovery,,,,,"Representative of Medair were leaving for the remote mountainous villages in Sindhupalchowk district. They will be conducting assessments of the needs, as well as distributions  of essential items to families affected",,http://relief.medair.org/,https://www.facebook.com/MedairUK,https://twitter.com/MedairInt,https://relief.medair.org/en/donate/,
Medecins du monde (Doctors of the World USA),,,NGO - International,USA,Health,Health,,,,"Médecins du Monde / Doctors of the World is sending 15 tons of medical supplies and an enhanced team to aid rescue efforts... Yesterday MdM, in partnership with Solidarités International, sent a 12-person emergency team consisting of medical professionals (surgeons, anesthetists, nurses)  and logisticians. We will also be sending 15 to 20 tons of medical supplies (surgery kits, natural disaster kits) to assist the people of Nepal. (http://doctorsoftheworld.org/2015/04/26/nepal-earthquake-doctors-of-the-world-mdm-sends-15-tons-of-supplies/)",,http://doctorsoftheworld.org/,https://www.facebook.com/doctorsoftheworld,https://twitter.com/_MdMUSA,http://doctorsoftheworld.org/donations/,http://www.westerndailypress.co.uk/Death-toll-Nepal-earthquake-reach-10-000/story-26403882-detail/story.html
Médecins Sans Frontières,Doctors Without Borders - USA,MSF-US,NGO - International,USA,Health,,,,,"As of May 1, 24 tonnes of cargo arrived in Kathmandu.An MSF team is continuing mobile clinic activities via helicopter in remote villages in the mountains to the north of Kathmandu.A mobile medical team is visiting remote villages in the mountains to the northwest of Kathmandu to provide consultations and assess further needs.A surgeon is assessing the the capacity of the referral hospital in Bharatpur, south of Gorkha, which has been receiving patients following the earthquake. A team is continuing its assessment of the location to set up the inflatable hospital that arrived via cargo plane on Wednesday, April 29. An MSF nurse and doctor are providing support with the medical evacuation of some patients from Larpak, in Ghorka district.A surgical team comprising a surgeon, anesthesiologist, and nurse continues to support the hospital in Bhaktapur. They have managed five major surgeries so far.",,http://www.doctorswithoutborders.org/,https://www.facebook.com/msf.english,https://twitter.com/MSF_USA,https://donate.doctorswithoutborders.org/onetime.cfm,http://www.latimes.com/world/asia/la-fg-nepal-help-20150427-story.html
Médecins Sans Frontières,Médecins Sans Frontières - Canada,MSF,NGO - International,Canada,Health,,,,,"A team (doctor, nurse, logistician) began mobile clinic activities by helicopter in the mountains to the north of Kathmandu, including Langtang valley and Rasuwa district. They saw around 30 patients and also assessed the needs in a number of villages in the area.

A surgical team (surgeon, anaethetist, nurse) began  supporting the hospital in Bhaktapur. They have managed 5 major surgeries so far. 240 shelter kits (1 kit = 1 family) were distributed in Balwat Bazaar in Ghorka district.

1200 kg of cargo arrived in Kathmandu. 24 tonnes of cargo arrived in Kathmandu.

A team is continuing mobile clinic activities by helicopter in remote villages in the mountains to the north of Kathmandu. A mobile medical team is visiting remote villages in the mountains to the north-west of Kathmandu to provide consultations and assess further needs.

A surgeon is assessing the the capacity of the referral hospital in Bharatpur, south of Ghorka, which has been receiving patients following the earthquake.

A team is continuing its assessment of the location to set up the  inflatable hospital that arrived by cargo plane on Wednesday night.

A nurse and a doctor are providing support in the medical evacuation of some patients from Larpak in Ghorka district.

A surgical team (surgeon, anaethetist, nurse) is continuing to  support the hospital in Bhaktapur. They have managed 5 major surgeries so far. ","MSF 4 teams of medical and non-medical staff,plus surgical team and 3000 kits of NFI and medical kits to affected areas on 26th April from Bihar, India ",http://www.msf.ca/,https://www.facebook.com/msf.english,https://twitter.com/MSF_canada,https://msf.donorportal.ca/MSFEN/Donation/DonationDetails.aspx?L=en-CA&G=21&F=545&T=GENER,http://www.msf.ca/en/article/nepal-msf-teams-are-conducting-mobile-clinics-and-treating-patients-preparing-to-build-field
Médecins Sans Frontières,,MSF,NGO - International,Switzerland,Health,,,,,"April 25: Sending 3,000 kits of non-food items and medical kits","MSF 4 teams of medical and non-medical staff,plus surgical team and 3000 kits of NFI and medical kits to affected areas on 26th April from Bihar, India",http://www.msf.org/,https://www.facebook.com/medecins.sans.frontieres,https://twitter.com/MSF,https://donate.doctorswithoutborders.org/onetime.cfm,
Medical Teams International,,MTI,NGO - International,USA,Health,,,,,"Setting up mobile medical clinic in northwest part of Dhading District.  Also en route aA doctor, trauma nurse, a logistics officer and a communication specialist out of Tigard, Oregon ","Security head on the ground in Kathmandu. Rest of team enroute. Doctor, nurse, paramedic, logistics, comms. Destination Dhading.",https://www.medicalteams.org/,https://www.facebook.com/medicalteams,https://twitter.com/medteams,https://www.medicalteams.org/take-action/donate,Received via email from MTI HQ.
Mennonite Central Committee,,MCC,NGO - International,USA,Shelter & NFI,,,,,"MCC is currently working on the details of our response to the 7.8 magnitude earthquake that has struck an area between the capital Kathmandu, and the city of Pokhara, Nepal. At this point we know that our initial response will include food and shelter support in remote areas.",,http://mcc.org/,https://www.facebook.com/MennoniteCentralCommittee?fref=ts,https://twitter.com/mccorg,http://mcc.org/learn/what/relief/nepal-earthquake,http://www.pennlive.com/midstate/index.ssf/2015/04/nepal_earthquake_mennonite_cen_1.html
MERCY Malaysia,,MERCY-MYS,NGO - International,Malaysia,Health,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,,,,,
Mercy Relief,,,NGO - International,Singapore,Health,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://mercyrelief.org/web/Contents/Contents.aspx?Yr=2015&ContId=481,,,,http://www.channelnewsasia.com/news/nepal-quake-relief-mercy/1816962.html
Mercy Ships,,,NGO - International,International,Health,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://www.mercyships.org/,https://www.facebook.com/MercyShips,https://twitter.com/MercyShips,,
MercyCorps,,,NGO - International,USA,Shelter & NFI,Health,Nutrition,,,"prepping emergency supply kits, provide tarps and shelter kits. Fundraising for life-saving aid and recovery efforts. They have 90 members in Nepal right now","Managing a fund-raiser
More than 90 dedicated members in Nepal right now.",https://www.mercycorps.org/,https://www.facebook.com/mercycorps,https://twitter.com/mercycorps,https://www.mercycorps.org/donate/survivors-need-your-help-now,"https://www.mercycorps.org/articles/nepal/emergency-update-field
http://www.4-traders.com/GAP-INC-12816/news/Gap--Statement-of-Gap-Inc-on-the-Nepal-Earthquake-Disaster-20259298/
http://7thspace.com/headlines/507280/thousands_of_casualties_after_massive_78_magnitude_earthquake.html"
Microsoft,,,Corporation,USA,Telecom,Logistics,,,,Disaster Response with services and support,,"www.microsoft.com
http://t.co/71LG4hqmTX",https://www.facebook.com/Microsoft,https://twitter.com/Microsoft,,http://blogs.technet.com/b/microsoft_corporate_disaster_response_blog/archive/2015/04/27/microsoft-disaster-response-nepal-earthquake.aspx
Mission East,,,NGO - International,,Shelter & NFI,WASH,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,,,,,http://www.ain.org.np/member_ingos.php
MountainChild,,,NGO - International,,Health,Education,Protection,WASH,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,,,,,http://www.ain.org.np/member_ingos.php
Muslim Aid,,,NGO - International,UK,Assessments,Early Recovery,Shelter & NFI,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://www.muslimaid.org,,,,
Muslim Hands,,,NGO - International,UK,Assessments,Early Recovery,Education,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://www.muslimhands.org.uk,,,,
Namlo International,Namlo Nepal,,NGO - International,USA,Early Recovery,Shelter & NFI,,,,"5/1 In country staff will attempt to deliver relief supplies to Mankha tomorrow, based on whether or not he can find shelter materials. Sent $8,000 for this initial delivery, and he will use that money to make deliveries to ward 4 in Mankha to help 153 families (765 people) and ward 1 in Dhuskun for 80 families or 400 people. $6,000 additional funds pledged byt not yet received",5/1 deliveries to ward 4 in Mankha to help 153 families (765 people) and ward 1 in Dhuskun for 80 families or 400 people.,www.namlo.org,https://www.facebook.com/namlo.international,NA,http://namlo.org/2015/04/namlo-earthquake-appeal/,"https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1630558794
http://namlo.org/2015/05/namlo-situation-report-2/
https://www.facebook.com/namlo.international?fref=ts"
NAXA,,,Corporation,Nepal,Assessments,Logistics,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://naxa.com.np/,,,,http://nepal.sahana.io/
Nazarene Disaster Response,,,NGO - International,?,Shelter & NFI,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,,,,,
Nepal American Nurses Association,,,?,USA,Health,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://nanausa.org/,https://www.facebook.com/NepaleseAmericanNursesAssociation,NA,https://www.paypal.com/us/cgi-bin/webscr?cmd=_flow&SESSION=M-fkbSftq9uR_wfKszCiiwLm6sQkcndFpm5jOd61ej4oYGArDTGzQAPdFae&dispatch=5885d80a13c0db1f8e263663d3faee8d96f000117187ac9edec8a65b311f447e,https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1056245383
Nepal Disaster Relief,,,?,?,Health,Shelter & NFI,Nutrition,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://nepaldisasterrelief.org/,,,,http://nepal.sahana.io/
Nepal Earthquake Disaster Relief Fund,,,Individuals,Virtual,Funding,,,,,"Support disaster recovery and relief efforts; provide immediate needs like food, water, medicines",,NA,NA,NA,http://www.gofundme.com/swc2t9k?fb_action_ids=10206644610937949&fb_action_types=og.shares&fb_ref=undefined,http://www.maheshpoudyal.com/nepal-earthquake-25-april-2015/
Nepal Grassroots Recovery,Affiliated with Global Art Collective,,NGO - Local,Nepal,Shelter & NFI,Nutrition,,,,"Nepal Grassroots Recovery has been reported to be responding to the Nepal earthquake, but no information on their response is available as of May 3. Per Facebook update, are working to sew together tarps and collect damage assessment info. ",,NA,https://www.facebook.com/NepalGrassrootsRecovery,NA,,
Nepal Photo project,,,NGO - Local,Nepal,Assessments,,,,,Capturing photographs and images of the disaster with a what? who? where? ,Unknown,https://instagram.com/nepalphotoproject/,https://www.facebook.com/nepalphotoproject,https://twitter.com/nepalphotoproj,,https://instagram.com/nepalphotoproject/
Nepal Society of Texas,,,NGO - International,USA,?,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,https://www.ournst.org,,,,http://nepal.sahana.io/
Nepal Will Rise,,,NGO - Local,Nepal,Assessments,,,,,Appears to primarily be a website of resources.,,http://www2.nepalwillrise.org/,https://www.facebook.com/nepalwillrise,NA,,
Nepal Youth Foundation,,NYF,NGO - International,USA,Funding,Protection,Shelter & NFI,Food Security,Health,"May 4 - Northern Dhading, Satya Devi VDC, sent 2 trucks of emergency supplies (food, clothes, large sleeping mats and 400 pieces of corrugated tin to make temporary community shelters). Kathmandu, continuing to provide ambulance and transportation services for patients discharged from hospitals. The Ullens School is availing vehicles to various volunteer groups for transporting relief materials to affected areas. NYF donated food supplies and other relief materials to a group to be sent to one affected village in Nuwakot. At the transit shelter - tracing the families of the victims to send them safely back home to their villages and receiving new arrivals.
Immediate Relief - Emergency supplies to hospitals: got a request from a hospital to provide 200 beds and bedding, which will be delivered on April 27. / Providing supplies to temporary shelters: NYF plans to provide support focusing the efforts on children and pregnant women. Will need nourishing food, safe water, and some play materials. The goal is to provide supplies until the shelter residents find permanent living arrangements.
Rebuild - NYF plans to expand the vocational training program, focusing on construction skills (We will train 1,000 young people as well as adults from the villages to enable them to build their own houses to withstand natural disasters). To provide funds to supplement the purchase of construction materials and some technical support. Will start rebuilding (50 schools) and reconstructing schools.
NYF expects the total cost of this effort to be $2.4 million.","USD 2.4 million
Immediate relief and rebuilding",http://www.nepalyouthfoundation.org,https://www.facebook.com/nepalyouthfoundation?_rdr,https://twitter.com/nepalyouthfound,https://app.etapestry.com/hosted/NepalYouthFoundation/OnlineDonation.html,"http://www.nepalyouthfoundation.org/nyf-launches-massive-earthquake-disaster-relief-program/
https://www.facebook.com/nepalyouthfoundation/posts/865933673454088"
Nepalese Association of Connecticut,,NAConn,NGO - International,USA,Funding,,,,,"In this tragic situation, Nepalese Association of Connecticut is making an urgent appeal to all for monetary donations to help the earthquake victims and families in Nepal. The donation collected will be sent directly to Nepal Red Cross Society or to a reliable organization.",,http://www.ctnepali.org/,https://www.facebook.com/pages/Nepalese-Association-of-Connecticut/1548649478751257,NA,http://www.ctnepali.org/ctnepali/?p=5504#more-5504,http://www.courant.com/news/connecticut/hc-west-hartford-nepal-earthquake-reaction-20150426-story.html
Nepali Rescue Project,RUN Ministeries,,NGO - Local,Nepal,Early Recovery,,,,,"The Nepali Government has entrusted 6 specific municipalities within the Gorkha region to the Nepali Rescue Project to provide immediate care -tents, blankets, food and water supplies",,http://nepalirescueproject.com/,https://www.facebook.com/NepaliRescueProject,NA,,
Nepali Technical Assistant Group,,NTAG,NGO - Local,Nepal,Camp Coordination,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,,,,,
NetHope,,,NGO - International,Virtual,Assessments,Telecom,,,,ICT services,,http://nethope.org/disaster-response/nepal-earthquake,https://www.facebook.com/NetHopeorg,https://twitter.com/NetHope_org,,
