organization,interaction_intervention_id,org_intervention_id,project_tags,project_name,project_description,activities,additional_information,start_date,end_date,clusters,sectors,cross_cutting_issues,budget_numeric,international_partners,local_partners,prime_awardee,estimated_people_reached,target_groups,location,project_contact_person,project_contact_position,project_contact_email,project_contact_phone_number,project_website,date_provided,date_updated,status,donors
GlobalGiving,GG-NP-13-10100,15456.0,foodsecurity_site,Protect orphans and abandoned children in Nepal,"Nepal, an economically poor country, experiencing serious political and social un-stabilization over the last 15 years, leading to  increasing number of orphans and abandoned children in the society, who are uncared and unlooked after.To address this needs and challenge, Social Development Organization Nepal aims to protect 16 orphans and abandoned children on it's ""Our Child Home"" at Dhapasi-4,Kathmandu, providing quality education, shelter, food, clothing, medical care in a homely environment.<br><br> Nepal's statistical data projects, there are 11.5 million children. Out of them, 1,000,000 are orphans. The causes of abandonment of these children are death of parents, sickness, poverty, re-marriage of their parents and difficult living conditions. Very tender children are dying in Nepal uncared for, unlooked after- orphaned by the ultimately death of their parents. In this critical situation, these orphans and abandoned children are forced to live in the streets,child labour and displaced.<br><br> Presently, Social Development Organization Nepal is protecting 8 orphan and abandoned children providing their education, shelter, food, clothing, medical care in a homely atmosphere. But, needs your help, not only to maintain, but to expand to 16 needy children who are at-risk. Your small donation can change their lives and turnout to their better future, providing quality education, nutritious food, shelter, clothing, medical care, school supplies, caring, love, and socio-cultural development.<br><br> The donations granted from this project will protect 16 needy orphans and abandoned children providing their basic needs, child rights and holistic socio-cultural development which will ultimately reduce the critical situation to live in street, displaced, and trafficking. The children will get love and compassion on a homely environment and will be developed as a good and productive citizens and will be re-united with their families/relatives.","","",2013-11-25,2015-11-13,"","Education,Food Aid,Health,Safety nets","",3942,"",Social Development Organization Nepal,"","","",Nepal>Central,"","",sdonepal@yahoo.com,977-9843298588,http://globalgiving.org/15456,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-13-10101,15934.0,"",Better Schools in Rural Nepal!,"Educate the Children will improve numerous schools in rural Nepal, ensuring a safer and more pleasant learning environment for thousands of children. We will repair or replace roofs, plaster and paint interior and exterior walls, provide classroom furniture, build sanitary toilet facilities, and improve school playgrounds.<br><br> Many schools in rural Nepal are in poor physical condition: they are often run-down, open to the elements, without sufficient furniture or suitable recreational equipment, and sometimes even unsafe.   Children must spend hours every day in these unattractive and uncomfortable settings. They cannot do their academic best if they are crowded onto inadequate seating in drab surroundings, or having to cope with rain coming through leaking roofs. Poor attendance is common at such schools.<br><br> Educate the Children has been committed to improving the quality of education in Nepal for nearly 25 years. Through this project, we will ensure that schools in the rural Dolakha District of east central Nepal can receive necessary improvements, including:  1. Plastering and painting exterior and interior walls 2. Roofing repair, minor or major 3. Grounds maintenance and playground improvements 4. Sanitary toilet facility construction 5. Furniture for classrooms<br><br> When children have a comfortable, safe, and appealing environment in which to learn, they perform better academically. Their attendance rates improve, and they are able to remain more engaged during the school day. Teachers too report better job satisfaction when their classrooms are more attractive and better equipped.","","",2013-12-17,2015-11-13,"",Education,"",3747,Educate the Children,"","","","",Nepal>Central,"","",director@etc-nepal.org,(607) 272-1176,http://globalgiving.org/15934,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-13-10104,13972.0,"",Education for 90 Girls in Rural Villages of Nepal,"Girls' education has been ignored in Nepalese communities for various reasons such as, cultural traditions, an unsuitable schooling environment & financial problems. It is particularly rare for girls that come from poor & Dalit families in rural villages of Nepal, to receive an education. Consequently, this project will support 90 girls most in need of schooling. Educating girls has many advantages such as, improved gender equality, health, education, better family planning and economic growth.<br><br> Girl's education is still ignored in Nepal, particularly in remote villages amongst poor & Dalits families. The major reasons for this are cultural beliefs, an education for girls is supposed unnecessary, the school environment, a lack of awareness, affordability, plus a lack of motivation in parents to promote girl's education. Some effort is being made by the government to address this issue but still 60% of girls are not in school and most of them drop out of school by age of twelve.<br><br> We believe that there is enough evidence to suggest- investing in girls' education will bring the highest return to individuals, families, communities & nations. Therefore, we will support 90 girls most in need of schooling. We will raise awareness concerning the importance of girls' education through their parents. We will monitor the girls in the scheme on a regular basis to avoid dropping out from schooling. We will also work closely with schools & teachers to improve the school environment.<br><br> Ninety of the neediest girls in rural villages of Nepal will finish their schooling. This will result in ninety educated mothers for tomorrow. There is enough evidence to suggest that an educated mother will ensure that her children will be educated regardless of gender, will raise healthier babies & contribute to better family planning. Also six poor families in the villages will be trained to sew & make uniforms for the girls in the scheme, which in turn will improve livelihood opportunities.","","",2013-06-03,2015-11-13,"",Education,"",2066,"Nepal Village Foundation, UK","","","","",Nepal>Eastern,"","",krit.sharma@nvf.org.uk,2073948392.0,http://globalgiving.org/13972,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-13-10105,14260.0,foodsecurity_site,Provide food for 35 elderly people in Nepal,"Sankhuwasabha Education Scholarship Foundation (SESF) plans to provide food and monthly allowance for fruits, vegetables and other costs to 35 helpless, elderly people (from 55 to 91 years old) residing at Manakamana Bridhashram, an Old Age Home, in eastern parts of Nepal for years.<br><br> There are 35 helpless elderly people from 55 to 91 years of age residing at Manakamana Bridhashram, an Old Age Home, Khandbari. They do not get any government support apart from $6.00 per month per person as pension. The amount is not sufficient for them to purchase food, fruits and vegetables, clothing, and medicines. So they are always dependent on charity donation from the pilgrims. SESF will provide them with 100 KG rice as well as USD 36 per year.<br><br> This project will help collect donations from our friends, relative's charity organizations and provide 10 kg rice and USD 5.00 per person per month. In this way a person will have 120 kg rice and USD 60 per year. The  money and the rice will be helpful to solve their food problem. We plan to support them for five years.<br><br> This project will be able to feed 35 elderly people (78 female and 7 male) from 53 to 91 years old and reduce  their hunger and help them save from passing away without food in their last stage of life.","","",2013-08-28,2015-11-13,"","Food Aid,Safety nets","",1022,"",Sankhuwasabha Education Scholarship Foundation (SESF),"","","",Nepal>Eastern,"","",info@makaluaruntreks.com.np,00977-29650716,http://globalgiving.org/14260,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-13-10106,15827.0,"",Fund 23 Safe Births at Bayalpata Hospital in Nepal,"Roughly 800 women die per day from preventable complications from a home delivery, and through our partnership with Nyaya Health, GlobeMed at Tufts has pledged to assure that the women of Accham, Nepal, have a different fate. Please join us in our goal to fund prenatal, ambulance, and hospital delivery care for 23 women in rural Nepal.<br><br> The community of Achham, Nepal faces a high burden of maternal mortality due to childbirth. A woman in Achham is over 200 times more likely to die during her pregnancy than a woman in the United States.  This wide disparity is due to the difficulty of accessing safe delivery services and together Nyaya Health and GlobeMed at Tufts aim to provide women with a solution.<br><br> By raising money to fund maternal health at Bayalpata Hospital, mothers who would ordinarily have no access to delivery services will be provided with prenatal care, ambulance transportation to the hospital if necessary, and a delivery at Nyaya Health's Bayalpata hospital. These services are provided free of charge regardless of the mother's ability to pay.<br><br> The ultimate goal of this project is to reduce maternal and infant mortality in the community of Achham through increasing access to high-quality healthcare facilities, namely Bayalpata Hospital.  By providing safe deliveries free of charge for mothers in Achham, Nyaya aims to ensure the well being of the next generation and increase awareness of the importance of maternal health services in Achham.","","",2013-12-03,2015-11-13,"",Health,"",11357,GlobeMed at Tufts University,"","","","",Nepal>Far-Western,"","",tufts@globemed.org,(206) 225-7142,http://globalgiving.org/15827,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-13-10114,11629.0,foodsecurity_site,Help Disadvantaged Children and Adults in Nepal,"The goal is to provide food, water, education and improve healthcare alongside seven community development projects in Pokhara, Nepal.<br><br> 7 centres/schools need help from financial aid in securing basic resources including: one children's home that provides food and shelter to children who would be living on the street; two day-care centres that provide a stable and safe environment while parents work; one preschool providing care and therapy to disabled and special needs children and their families; a youth group focusing on building English skills and confidence to improve school grades and find higher paying jobs.<br><br> Aside from working beside project staff, GVI would like to help by providing resource donations from supplying a year's worth of food to the children's homes, increasing hygiene awareness at the day care centres, equipment for the therapy centres and training for the youth group.<br><br> Long term goals at these centres include better education, improved hygiene and capacity building. Providing full bellies, focusing on hygiene at an early age and creating English training programs means underprivileged children and adults are able to improve their own lives.","","",2013-05-30,2015-11-13,"","Education,Food Aid,Health","",3654,Global Vision International Charitable Trust,"","","","",Nepal>West,"","","ross@gviworld.com,steve@gviworld.com",+44 870 608 8898,http://globalgiving.org/11629,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-13-10115,14534.0,"",Reproductive Health for 500 Dalit Women in Nepal,"In rural Nepal, maternal mortality is one of the highest in the world. Our workshops will educate 500 female community health workers, EDWON women's group leaders and group members from the marginalized Dalit (""untouchable"") caste, in lifesaving maternal and neonatal care and family planning. Such knowledge is crucial for women's and girls' empowerment as well as their health. Doctors from our partner Nidan (""cure"") will train 70 women who will benefit directly and then train 430 others.<br><br> In Nepal, a woman dies every 4 hours from pregnancy-related causes. Unsafe practices and lack of access to skilled birth attendants and contraception contribute to the high maternal mortality rate. Dalit women, whose average lifespan is only 42 years, are systematically repressed by caste and gender and fare worse for all social indicators, especially in isolated rural areas. Good maternal health and family planning are prerequisites to empower these rural women socially and economically.<br><br> In three project communities a team of doctors and facilitators will conduct a 3-day train-the trainer workshop for 20-25 local female health workers and EDWON  group leaders, influential in their communities. Most importantly, the participant trainees will be taught to educate other women in practices for healthy pregnancies, basic neonatal care, and how to obtain and use inexpensive contraception. 8 months later, a smaller team returns to give a 2-day follow-up refresher workshop.<br><br> EDWON has worked successfully in Dalit communities for 15 years, focusing on micro savings, human rights training and livelihood education. As requested by our women, we recently added this workshop. Through this project, 500 women will gain control of childbearing, while they and their children will live healthier lives. With this life-saving knowledge, these Dalit women, who are systematically degraded and marginalized, will be much closer to claiming their human rights and living in dignity.","","",2013-09-01,2015-11-13,"",Health,"",6567,Empower Dalit Women of Nepal,"","","","",Nepal>West,"","",edwonus@gmail.com,617 864 1224,http://globalgiving.org/14534,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-14-10077,18182.0,"",Empower 300 girls to become leaders in Nepal,"Women LEAD is the first and only professional and leadership development organization for young women, led by young women, in Kathmandu. Since 2011, we've empowered over 750 female high school students to become leaders in their schools and communities. Our goal is to empower 300 young women leaders with the self-confidence, skills, support and resources to become leaders in their schools and communities, thereby increasing the number of female role models, mentors and leaders across Nepal.<br><br> It is difficult for girls in Nepal to partake in decision-making at every level, from their families to the government. Decisions are often made about critical issues affecting girls' lives, such as early marriage, without the input of girls themselves. They rarely have the agency to make decisions in their lives on anything from when they marry and whether they go to school to the amount of resources invested in them. We will work with 300 youth in Kathmandu to transform them into leaders.<br><br> Young women's voices are rarely valued in traditionally male-dominated Nepal. Our programs provide young women with intensive yearlong leadership training, skills building, mentoring, university preparation & a peer-support network. They participate in a 2 week leadership training, are paired with a mentor & for the rest of the year are either placed in an internship at an NGO or lead weekly leadership workshops for younger students in their communities through our School Leadership program.<br><br> After going through our program, participants are able to study in the university & course of their choice, enter a leadership position in their school or community, have at least one mentor & are a mentor to at least one girl, and receive skills & training that increase their ability to access employment. School Leadership participants see an improvement in grades & civic participation & increased mutual respect, healthy relationships & dialogue between boys & girls about gender issues.","","",2014-09-01,2015-11-13,"",Education,"",4808,Women LEAD,"","","","",Nepal,"","",ccharamnac@women-lead.org,(+977) 01-6923979,http://globalgiving.org/18182,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-14-10097,14730.0,"","Stop Human Trafficking, Rescue, Educate & Empower","We prevent at-risk Nepali girls and women from being kidnapped and forced into sex slaves or bonded labor, and we rescue those who have already suffered the trauma of being trafficked. JHF provides education, job training, housing, and medical support. Every Nepali girl is at risk of becoming a slave either in the big cities of Nepal, or more likely to be transported to India, the Middle East and Asia. The work also is in enforcement of laws. JHF wants to eradicate this risk one life at a time.<br><br> The border between Nepal and India is quite open and anyone can cross without a passport or visa. Over the years, over 200,000 young Nepali girls have been stolen from their homes and forced into sex slavery in the red light districts of India. Every year, nearly 15,000 Nepali girls and women are trafficked to India's four main cities-Mumbai, Kolkata, Delhi, and Bangalore-for bondage-based commercial sex. In addition, nearly 7,000 women are trafficked to Persian Gulf countries each year.<br><br> The Journey Home Foundation aims to educate villages, women & girls on the dangers of human trafficking and the ways to avoid it. The Foundation exposes the hidden agendas behind predatory offers so that women and families are wiser to the realities of this criminal industry and are able to recognize trafficking solicitations.
More importantly, JHF  helps the girls develop a sense of pride and self-worth so they are less vulnerable and better prepared to protect themselves.<br><br> Textile Skills
Hands-on training helps expand simple mending skills to sewing and weaving capabilities. Women are trained to be proficient using commercial sewing machines purchased by JHF. The foundation also teaches the women how to promote a business of sewing, so that they will eventually be self-sufficient. JHF and staff volunteers oversee the training and guide the work engagements.
 Culinary Arts                        
JHF sponsors a culinary school in Nepal for 9 months for girls.","","",2014-03-01,2015-11-13,"","Economic Recovery and Development,Protection","",5289,Journey Home Foundation,"","","","",Nepal>Central,"","",journeyhomefoundation@gmail.com,415 456 4444,http://globalgiving.org/14730,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-14-10116,16721.0,"",The Ambitious Girls Fund,"Only 4% of Dalits in Nepal pass the final exam at the end of 10th grade that is required to continue their education. They must then complete the newly added 11th and 12th grades before they can go on to college. Imagine you're a Dalit girl graduating from the 10th grade, and you're faced with the overwhelming task of paying tuition fees as well as room and board in a distant city just to complete high school. This is where we come in - to provide a modest stipend to make this possible.<br><br> After 10th grade, students are expected to pay all their own tuition, fees subsidized in primary and lower-secondary school. Furthermore, after graduating from their village school, they must leave their families and move to the city to complete high school or a vocational program. These costs are out of reach to the Dalit girls who typically subsist on less than $1.25 per day.<br><br> The Ambitious Girls Fund addresses the need and desire expressed by Dalit girls to continue their education. The primary obstacle to completing a valuable high school or vocational degree is simply not having the means. The Ambitious Girls Fund provides this necessary financial support and makes college or learning a trade an option.<br><br> After completing 11th and 12th grade or a vocational program, girls lead productive lives and give back to their communities. These girls are often eligible for college scholarships. Even if they don't pursue college, they have gained marketable skills in fields like nursing, teaching, and journalism. Studies show that for every year of education a girl gains her income grows, she has fewer and healthier children, and, ultimately, her country's economy benefits.","","",2014-04-13,2015-11-13,"",Education,"",7922,Empower Dalit Women of Nepal,"","","","",Nepal>West,"","",edwonus@gmail.com,6178641224.0,http://globalgiving.org/16721,2014-11-25,2015-01-08,active,Private donations
Heifer International,HEFI-NP-11-3267,22-0531-36 ,foodsecurity_site,"Rehabilitation of the Conflict Affected Families in Banke, Dang, Kapilvastu, Rupandehi, Nawalparasi and Chitwan Districts ","This project will help 500 families among which 250 are families of missing persons in the 1996-2006 armed conflict in Nepal.  The other families will be trained to support as accompaniers to the families of missing. The project aims improve the socio-economical and psychosocial well-being of the families of Missing persons in Banke, Dang, Kapilvastu, Rupandehi, Nawalparasi, Chitwan Districts. The project families will be provided goats, along with agricultural support of fodder and forage seeds, fruit saplings and vegetable seeds for home garden. The trainings will include Heifer Cornerstones, SHG management, PSRP, improved animal management, organic farming, and fodder and forage production. Representatives of all the groups will be taken for exposure visits to other Heifer project area.  An additional 500 families will benefit from the Passing on the Gifts.This project will be implemented in collaboration with International Committee of Red Cross (ICRC). The project will complement ICRC’s Psychosocial Support Framework to support families of missing persons. ICRC will contribute for 50 % of livestock line item, Heifer Cornerstones training and project operation cost. Heifer will contribute for the technical and other trainings and provide oversight in project implementation. A Memorandum of Intent will be signed between Heifer Nepal and ICRC for mutual collaboration.  The project will be active during FY12, 13 and FY 14, followed by two years of reporting.
","","",2011-07-01,2016-06-30,"",Agriculture,"","","",Heifer International Nepal,"","","","Nepal>Central,Nepal>Mid-Western,Nepal>West",Rebecca Alderfer,South Asia Program Desk,rebecca.alderfer@heifer.org,"","",2012-02-09,2014-02-10,active,Private donations
Habitat for Humanity International,HFHI-NP-15-14533,"","",Rebuild Nepal,"On 25 April 2015, a magnitude-7.8 earthquake struck Nepal with the epicenter in Lamjung district, about 80 kilometers northwest of the capital Kathmandu. This was followed by another magnitude-7.4 earthquake that hit Dolakha district near Mount Everest on 12 May. Aftershocks continue. According to the government of Nepal, over 604,900 homes were destroyed, around 290,000 were damaged, and more than 8,800 people were killed. 
Habitat for Humanity is responding to the earthquakes in cooperation with the Nepal government and coordinated through the Shelter Cluster’s network of relevant humanitarian agency partners. Habitat for Humanity aims to support disaster-affected families through rubble removal, temporary shelter kit distribution, detailed safety assessments of houses, and permanent home construction.","As of September 2015, 40 families in 3 districts have benefitted from rubble removal by local volunteer teams. Rubble removal work will continue as part of the permanent home construction program in the recovery work phase and be community-led.  More than 5,000 temporary shelter kits have been distributed in 4 districts, and 20,000 water backpacks have been distributed in seven districts, involving more than 60 volunteers. Evaluations of more than 3,400 houses have already been completed by 40 surveyors. Work has begun in Kavre District to build 145 permanent homes. More than 840 local volunteers have supported Habitat for Humanity’s earthquake response work.","Estimated reach: 100,000 families (target)",2015-04-01,2016-06-30,"","Disaster Management,Humanitarian aid,Shelter and Housing","","","","","",500000,"","Nepal>Central,Nepal>Far-Western",Desiree Bartosiak,National Director (interim),info@habitatnepal.org ,+977-1-443-2801,http://habitatnepal.org/,2015-10-01,2015-10-01,active,""
Helen Keller International,HKI-NP-11-4015,3138,foodsecurity_site,Suahaara - Improved Nutrition Practices,"The objective of the INP Project is to improve the nutritional status of women and children under two years of age in 25 target districts. To achieve this, support will be provided: at the national level to improve advocacy leading to better national policies, strategies and guidelines and increase investment in nutrition; at the regional level to strengthen health and agricultural systems for nutrition; at the district and sub-district levels to improve service provider capacity through training; and at the community level to support communities to improve family actions on nutrition. ","","",2011-08-30,2016-08-29,Food Security and Agriculture,"Education,Food Aid,Health","",11412653,Save the Children USA,"",Save the Children USA,"","","Nepal>Central,Nepal>Eastern,Nepal>Far-Western,Nepal>Mid-Western,Nepal>West",Jennifer Nielsen,"Senior Program Manager, Nutrition and Health",jnielsen@hki.org,"","",2013-04-10,2013-04-11,active,Save the Children USA
All Hands Volunteers,HODR-NP-15-13181,"","foodsecurity_site,nepal_earthquake",Project Nepal Disaster Response,"All Hands' staff arrived in Kathmandu a week after the April 25, 2015 earthquake and began coordinating local volunteers to assist in the humanitarian response being conducted by a number of national and international organizations. Over 700,000 homes have been damaged or destroyed by the earthquakes, aftershocks and landslides. According to OCHA, an estimated 2.8 million people need humanitarian assistance.<br>

Further complicating matters, monsoon season began in June, bringing more landslides, and exposing hundreds of thousands of displaced people to the elements.

All Hands waited until June to open Project Nepal to outside volunteers, so as not to add stress to the chaotic situation. We now have bases in Kathmandu and Sindhupalchok, and a clear sense of where and how we can help. Our volunteer ranks are comprised of both local and international volunteers. We are managing 75- 100 volunteers at a time in the field.","Ongoing response activities include:
- delivering essential non-food and food items 
- clearing rubble
- deconstructing unsafe buildings
- constructing temporary learning centers (""TLCs"") for children to have a place to go to regain a sense routine, stability and avoid interruption to their studies, and to protect them from child trafficking
- constructing temporary shelters in preparation for the monsoons
- improving conditions at IDP camps (wash sites, drainage, fencing)
- constructing earthquake resilient progressive homes for displaced families","Due to the extent of the devastation, we expect the response phase of our work to last at least 6 months, and to overlap with the beginning of an early recovery project to rebuild homes and schools in rural regions outside of Kathmandu. We are planning to work in Nepal for at least two years.",2015-05-01,2015-11-01,"Early Recovery,Education,Protection,Shelter and Non-Food Items","Education,Food Aid,Humanitarian aid,Non-food relief items (NFIs),Protection,Shelter and Housing","",500000,Yellow House,"Unicef, Team Rubicon, Restless Development, Engineers Without Borders, Catholic Relief Services","",6000,"people affected by the April 25, 2015 earthquake and aftershocks in Nepal",Nepal>Central,Patrick Durrant,Director of International Disaster Response,paddy@hands.org,508-758-8211,http://hands.org/rebuilding-nepal-in-the-face-of-mass-destruction/,2015-06-11,2015-09-14,active,Private donations
All Hands Volunteers,HODR-NP-15-14005,"",nepal_earthquake,Project Nepal: School Reconstruction Program,"The earthquakes of April and May 2015 affected 8 million people, displacing 2.8 million. They also destabilized an already weak education system. It is estimated that over 1 million children previously enrolled in school are no longer attending classes because almost 90% of classrooms were destroyed or damaged.<br>

Stabilizing the education system is crucial for the country's long-term recovery and future success. Schools act as a catalyst for social, gender, and economic equality. Reestablishing lost educational infrastructure will have immediate benefits as well: healing of post-disaster trauma, safety and protection from child trafficking, diffusion of disaster preparedness information.  ","All Hands, together with Room to Read, will repair/rebuild 66 permanent schools (695 classroooms) in the heavily damaged Nuwakot district. <br>

Fundraising for this project is ongoing.<br>

Hallmarks of the project:<br>

- Use of earthquake resistant designs and methods
- Skills training for local builders and residents, resulting in a certificate attesting to skill level attained (including skills in earthquake resistant building practices) for use in future job applications.
- Community participation 
- Volunteer capacity provided by All Hands large network of multi-skilled international volunteers and local volunteers, to provide the labor to meet tight timelines on multiple active work sites.","The All Hands - Room to Read partnership leverages the strengths of both partners to meet the overwhelming need in Nuwakot. For nearly two decades, Room to Read, a global education and gender-equality nonprofit, has tackled the chronic shortages of classrooms, equipment and teachers across the school systems of the poorest countries, with a special emphasis on Nepal. Room to Read has made steady progress in increasing educational opportunities throughout the poorest districts, like Nuwakot (see insert above) where families live on less than $2 per day. Room to Read has deep local knowledge and a proven methodology but the scale and scope of this disaster is testing their ability to respond, especially as they have not previously worked in a post-disaster context.

All Hands, with a decade of post-disaster recovery experience, is structured to flexibly and quickly adjust to these fluid and ever-changing environments. Utilizing skilled and experienced project managers, bolstered by multi-skilled volunteers drawn from all over the world, we know how to creatively deal with: disrupted supply chains; shortages of skilled and qualified local labor; cost uncertainties given material shortages; changing government regulations due to the disaster; challenges securing equipment and tools; and the countless other obstacles that arise each and every day. This “surge capacity” allows All Hands’ ability to deliver construction projects on the timelines needed, the quality required, and costs that are far lower than would be available in the “open market”.  Given this unique model, it also engenders community involvement and participation that would not be possible without a humanitarian mission and focus. ",2015-08-01,2016-06-15,"Education,Protection","Education,Protection","gender equality, psycho-social recovery",5000000,Room to Read,"","",20000,school age children whose whose classrooms were destroyed by the earthquakes,Nepal>Central,Paul Raddant,Director of International Rebuild and Recovery,Paul@hands.org ,+1 816-813-3013,http://hands.org/projects/nepal-earthquake-response/,2015-07-27,2015-08-04,active,Private donations
All Hands Volunteers,HODR-NP-15-14208,"","",Nepal Earthquake Recovery: Rebuilding Homes,"On April 25, 2015, north-central Nepal was the epicenter of a 7.8 magnitude earthquake, which was accompanied by weeks of aftershocks and landslides, including a second, 7.3 magnitude earthquake. According to a recent United Nations Office for the Coordination of Humanitarian Affairs (OCHA) Nepal Earthquake Situation Report, 8,700 people are confirmed dead; another 100,000 have been injured. The report states that nearly 800,000 homes have been damaged or destroyed, displacing an estimated 2.8 million people. The situation is particularly urgent as disaster survivors face the monsoon season creating deadly floods and landslides causing further damage and reducing access to external aid resources. Without adequate housing, families are left to camp outside or live in tent camps where they are vulnerable to the monsoon season and diseases caused by poor hygiene, as well as and remain isolated from support networks of neighbors and family. <br>

The Sindhupalchok District, located in central region of Nepal, is one of the hardest-hit districts by the earthquake and aftershocks. In May 2015, the United Nations Nepal Earthquake Assessment reported that out of 64 of the 79 village development committees (VDCs) in Sindhupalchock – an area with a population of 240,000 – 88% of the housing was damaged or destroyed, displacing 88% of the assessed population. In Sindhupalchok, women head 12% of households. Female-led households are particularly vulnerable as women are solely responsible for childcare and income generation.

","Together with its partners, Society of Nepalese Architects (""SONA""), the Department of Small Works, Architects Foundation, ARCASIA, and American Institute of Architects Foundation, All Hands proposes to construct permanent, earthquake- resilient  housing for displaced families in Sindhupalchok district of Nepal. The process will incorporate significant community and beneficiary input and participation. All Hands will act as lead implementing partner, and brings extensive expertise in project management, construction skills training, and volunteer mobilization in post-disaster reconstruction projects in developing countries. This contribution includes an international network of over 30,000 multi-skilled volunteers. <br>

This is a phased program that will be completed over two years, beginning with an assessment and design phase incorporating input from the local community, followed by a pilot phase in which homes will be built and a skilled work force developed by training beneficiaries. Input from the community will be gathered by a team of SONA and Department of Small Works designers  through workshops and meetings to address community needs and understand cultural context. SONA and All Hands will work to develop build criteria for beneficiary selection to identify the most vulnerable and urgent-care families . The criteria will account for vulnerabilities associated with female-led households and identify opportunities to train women builders and leaders. Once beneficiaries are selected, a team of project managers and construction experts will lead participants through training in building materials, building methods, and disaster risk reduction skills. Then, after evaluation and revision as needed by the collaborators, the program will be  brought to scaled, impacting a total of 10-12 villages and approximately building a total of approximately 540  homes","This program is a  Clinton Global Initiative ""commitment"" under the  listed under the American Institute of Architects.",2015-08-11,2017-08-31,Shelter and Non-Food Items,"Economic Recovery and Development,Shelter and Housing",Disaster preparedness achieved by incorporating earthquake resilient materials and methods and training beneficiaries in these techniques to disseminate throughout the region.,2300000,"Society of Nepalese Architects, ARCASIA","American Institute of Architects, Department of Small Works","",2700,people displaced by the April 2015 earthquake and aftershocks,Nepal>Central,Rachel Deery,Grant Writer,racheld@hands.org,5087287375,http://hands.org/,2015-08-04,2015-08-14,active,Private donations
International Catholic Migration Commission (ICMC),ICMC-BW-14-8716,"","",UNHCR-ICMC Deployment Scheme roster,"To enhance UNHCR’s capacity to refer refugees for resettlement, UNHCR and ICMC partnered in 1998 to create the Resettlement Deployment Scheme.  Through the Scheme, ICMC successfully manages a roster of experts or “deployees” who are fielded to UNHCR operations globally.  The majority of deployees identifies and refers refugees for resettlement. Other deployees are involved in additional protection activities requiring particular expertise; for example, deployees can serve as specialists in interviewing unaccompanied refugee children or women at risk.

 ","","",2014-01-01,2015-12-31,"","Humanitarian aid,Protection","","","","",ICMC,"",Refugees,"Botswana,Burundi,Chad,China,Congo,Democratic Republic of the Congo,Ecuador,Egypt,Ethiopia,Indonesia,Iran (Islamic Republic of),Iraq,Jordan,Kenya,Lebanon,Malawi,Malaysia,Namibia,Nepal,Pakistan,Rwanda,Senegal,South Africa,Sri Lanka,Sudan,Tajikistan,Thailand,Turkey,Uganda,United Republic of Tanzania,Yemen,Zambia,Zimbabwe",Linda BESHARATY,Deployment Scheme Coordinator,deployments@icmc.net,"",http://www.icmc.net/icmc-unhcr-resettlement-deployment-scheme/,2014-10-31,2015-01-05,active,"Citizenship and Immigration Canada,Office of the United Nations High Commissioner for Refugees (UNHCR)"
Lutheran World Relief,LWR-IN-15-12612,15-0454,"",Nepal-India Trans-boundary Flood Resilience Project,"The project is being implemented in a very poor locale on the Nepal-India border and along the provincial borders of the two North Indian states of Bihar and Uttar Pradesh, at the point where the Narayani/Gandak River enters in India from the hills of Nepal. <br><br>The 12 project villages identified for the project are located along the River Gandak and are highly flood prone. These villages are in remote locations- they are  located on the Bihar-UP border and are surrounded on one side by the volatile Gandak River and on the other by a reserve forest zone, the Valmiki Tiger Reserve in West Champaran district of Bihar. With poor road networks in the area, they are virtually inaccessible during the monsoon season; because of their peculiar location, they are forgotten by the governments whose services and schemes seldom reach them.<br><br>The project is a collaborative project between Dan Church Aid and Lutheran World Relief that builds from the first phase that focused on developing an early warning system and the information dissemination among the communities in the border region of both countries affected by Koshi river floods and to promote effective and efficient cross-border cooperation around the issue of flood vulnerability. <br><br>The current phase will focus on strengthening the earlier initiatives by building the capacity of target communities to effectively cope with the effects of the impact of the flooding through strengthening the community based early warning system (EWS), improving their capacity on disaster risk reduction through safety nets and mitigation measures, and promoting community advocacy around the flooding issue. This phase will also seek to increase their adaptive capacity through diversifying their livelihoods sources and improving their access to financial sources. Overall the project seeks to build the resiliency of the target communities to the effects of flooding to bring about improvement in their quality of life. ","","",2015-03-01,2016-09-30,"","Agriculture,Disaster Management,Environment","",833634,"GDS, IDF, SAHAMATI","","",10676,"","India>Bihar,India>Uttar Pradesh",Cafer Orman,Program Associate,corman@lwr.org,"",http://programs.lwr.org/,2015-04-14,2015-08-14,active,Private donations
