"NEPAL: Who is doing What, Where (3W)",,Date:,10/2/2015,,,,,,,,
,,,,,,,,,,,
WHO,WHERE (14 districts),,,,WHAT (ongoing and completed activities),,,Beneficiaries,,,
Shelter NFIs,Lalitpur,524 2 05 25,,,Distribution of Shelter Material,Tarpaulin, 30 ,30,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lubhu,524 2 05 25 5 029,Distribution of Shelter Material,Tents, 3 ,3,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,,,Distribution of Shelter Material,Blankets, 236 ,,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,,,Distribution of Shelter Material,Tents, 40 ,,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lalitpur Sub Metropolitan,524 2 05 25 2 001,Distribution of Shelter Material,Blankets, 130 ,130,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,,,Distribution of Shelter Material,Blankets,3000,2650,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,,,Distribution of Shelter Material,Blankets,218,218,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,,,Distribution of Shelter Material,Tarpaulin," 2,650 ",2650,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,,,Distribution of Shelter Material,Tarpaulin, 100 ,100,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Ghusel,524 2 05 25 5 003,Distribution of Shelter Material,Blankets, 300 ,60,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Malta,524 2 05 25 5 005,Distribution of Shelter Material,Blankets, 160 ,32,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Pyutar,524 2 05 25 5 007,Distribution of Shelter Material,Blankets, 140 ,28,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Khokana,524 2 05 25 5 034,Distribution of NFI,Household kits (excluding tarpaulins), 200 ,200,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Malta,524 2 05 25 5 005,Distribution of NFI,Household kits (excluding tarpaulins),100,100,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Pyutar,524 2 05 25 5 007,Distribution of NFI,Household kits (excluding tarpaulins),100,100,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Sangkhu,524 2 05 25 5 013,Distribution of NFI,Household kits (excluding tarpaulins),350,350,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Sangkhu,524 2 05 25 5 013,Distribution of NFI,Household kits (excluding tarpaulins), 8 ,8,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Khokana,524 2 05 25 5 034,Distribution of Shelter Material,Tarpaulin, 350 ,350,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Malta,524 2 05 25 5 005,Distribution of Shelter Material,Tarpaulin, 500 ,500,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Pyutar,524 2 05 25 5 007,Distribution of Shelter Material,Tarpaulin, 500 ,500,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Sangkhu,524 2 05 25 5 013,Distribution of Shelter Material,Tarpaulin, 75 ,75,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Dahachok,524 2 05 25 5 002,Distribution of Shelter Material,CGI Bundle (72ft/bundle), 307 ,307,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Bhattedanda,524 2 05 25 5 001,Distribution of Shelter Material,CGI Bundle (72ft/bundle), 460 ,460,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Ikudol,524 2 05 25 5 011,Distribution of Shelter Material,CGI Bundle (72ft/bundle),460,460,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Sangkhu,524 2 05 25 5 013,Distribution of Shelter Material,CGI Bundle (72ft/bundle),547,547,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Dahachok,524 2 05 25 5 002,Distribution of Shelter Material,Tool kits and fixings,307,307,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Bhattedanda,524 2 05 25 5 001,Distribution of Shelter Material,Tool kits and fixings,460,460,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Ikudol,524 2 05 25 5 011,Distribution of Shelter Material,Tool kits and fixings,460,460,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Sangkhu,524 2 05 25 5 013,Distribution of Shelter Material,Tool kits and fixings, 547 ,547,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Distribution of Shelter Material,Tarpaulin," 1,000 ",1000,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Distribution of Shelter Material,Tarpaulin, 30 ,30,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Distribution of Shelter Material,Tarpaulin, 30 ,30,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Distribution of Shelter Material,Tarpaulin, 30 ,30,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Distribution of Shelter Material,Tarpaulin, 30 ,30,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Distribution of Shelter Material,Tarpaulin, 30 ,30,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Distribution of Shelter Material,Tarpaulin, 30 ,30,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Distribution of Shelter Material,Tarpaulin, 30 ,30,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Distribution of Shelter Material,Tarpaulin, 200 ,200,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Sanepa,,Distribution of Shelter Material,Tarpaulin, 12 ,12,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Sunakothi,524 2 05 25 5 035,Distribution of Shelter Material,Tarpaulin, 14 ,72,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Thaiba,524 2 05 25 5 036,Distribution of Shelter Material,Tarpaulin, 162 ,100,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Sunakothi,524 2 05 25 5 035,Distribution of Shelter Material,Tents, 10 ,72,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Thaiba,524 2 05 25 5 036,Distribution of Shelter Material,Tents, 18 ,65,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Dukuchhap,524 2 05 25 5 020,Distribution of Shelter Material,Tents, 251 ,,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,,,Distribution of Shelter Material,Tents, 10 ,,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Khokana,524 2 05 25 5 034,Distribution of Shelter Material,Tarpaulin,200,200,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Bhattedanda,524 2 05 25 5 001,Distribution of Shelter Material,Tarpaulin,222,222,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Pyutar,524 2 05 25 5 007,Distribution of Shelter Material,Tarpaulin,250,250,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Chaughare,524 2 05 25 5 010,Distribution of Shelter Material,Tarpaulin,250,250,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Godawari,524 2 05 25 5 025,Distribution of Shelter Material,Tarpaulin, 16 ,16,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Distribution of Shelter Material,Tarpaulin, 1 ,1,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Chapagaun,524 2 05 25 5 022,Distribution of Shelter Material,Tarpaulin, 1 ,1,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Chapagaun,524 2 05 25 5 022,Distribution of Shelter Material,Tarpaulin, 6 ,6,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Distribution of Shelter Material,Tarpaulin, 8 ,8,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Nallu,524 2 05 25 5 006,Distribution of Shelter Material,Tarpaulin, 1 ,1,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Badikhel,524 2 05 25 5 023,Distribution of Shelter Material,Tarpaulin, 40 ,40,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lubhu,524 2 05 25 5 029,Distribution of Shelter Material,Tarpaulin, 1 ,1,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Lalitpur Sub Metropolitan,524 2 05 25 2 001,Distribution of Shelter Material,Tarpaulin, 57 , -   ,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Bungmati,524 2 05 25 5 038,Distribution of Shelter Material,Blankets, 200 ,100,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Bungmati,524 2 05 25 5 038,Distribution of NFI,Household kits (excluding tarpaulins), 249 ,249,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Bungmati,524 2 05 25 5 038,Distribution of NFI,Household kits (excluding tarpaulins), 495 ,495,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Dukuchhap,524 2 05 25 5 020,Distribution of NFI,Household kits (excluding tarpaulins), 309 ,309,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Dukuchhap,524 2 05 25 5 020,Distribution of NFI,Household kits (excluding tarpaulins),642,321,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Bungmati,524 2 05 25 5 038,Distribution of NFI,Household kits (excluding tarpaulins), 200 ,100,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Bungmati,524 2 05 25 5 038,Distribution of Shelter Material,Tarpaulin, 498 ,249,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Bungmati,524 2 05 25 5 038,Distribution of Shelter Material,Tarpaulin, 990 ,495,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Dukuchhap,524 2 05 25 5 020,Distribution of Shelter Material,Tarpaulin,1260,630,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Sairbu,524 2 05 25 5 033,Distribution of Shelter Material,Tarpaulin,138,138,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Bungmati,524 2 05 25 5 038,Distribution of Shelter Material,Tarpaulin,200,100,Households,,
Shelter NFIs,Lalitpur,524 2 05 25,Harisiddhi,524 2 05 25 5 037,Distribution of Shelter Material,Tarpaulin, 2 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bhartapunyadevi,524 2 06 31 5 024,Distribution of Shelter Material,blankets,606,303,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Raksirang,524 2 06 31 5 019,Distribution of Shelter Material,blankets,1480,740,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Kangkada,524 2 06 31 5 020,Distribution of Shelter Material,blankets," 1,000 ",1000,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bhartapunyadevi,524 2 06 31 5 024,Distribution of NFI,Household kits (excluding tarpaulins), 303 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bhartapunyadevi,524 2 06 31 5 024,Distribution of NFI,Household kits (excluding tarpaulins), 300 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Raksirang,524 2 06 31 5 019,Distribution of NFI,Household kits (excluding tarpaulins), 740 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Raksirang,524 2 06 31 5 019,Distribution of NFI,Household kits (excluding tarpaulins), 700 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Kangkada,524 2 06 31 5 020,Distribution of NFI,Household kits (excluding tarpaulins)," 1,000 ",,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bhartapunyadevi,524 2 06 31 5 024,Distribution of Shelter Material,Tarpaulin, 303 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Raksirang,524 2 06 31 5 019,Distribution of Shelter Material,Tarpaulin, 740 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Kangkada,524 2 06 31 5 020,Distribution of Shelter Material,Tarpaulin," 1,000 ",,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Syaphru,,Distribution of Shelter Material,Tarpaulin, 122 ,122,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,,,Distribution of NFI,Household kits (excluding tarpaulins), 13 , -   ,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Nibuwatar,524 2 06 31 5 039,Cash Distribution,Unconditional Cash," 3,322,500 ",443,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Namtar,524 2 06 31 5 026,Cash Distribution,Unconditional Cash," 2,460,000 ",328,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Palung,524 2 06 31 5 029,Distribution of Shelter Material,Blankets, 30 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Phakhel,524 2 06 31 5 040,Distribution of Shelter Material,Tarpaulin, 25 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Harnamadi,524 2 06 31 5 009,Distribution of Shelter Material,Tarpaulin, 1 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Palung,524 2 06 31 5 029,Distribution of Shelter Material,Tarpaulin, 30 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Tistung,524 2 06 31 5 033,Distribution of Shelter Material,Blankets," 2,766 ",1383,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Tistung,524 2 06 31 5 033,Distribution of Shelter Material,Tarpaulin,2766,1383,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Agra,524 2 06 31 5 032,Distribution of Shelter Material,Blankets, 100 ,100,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Tistung,524 2 06 31 5 033,Distribution of NFI,Household kits (excluding tarpaulins), 97 ,97,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Agra,524 2 06 31 5 032,Distribution of NFI,Household kits (excluding tarpaulins), 118 ,118,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Agra,524 2 06 31 5 032,Distribution of Shelter Material,Tarpaulin, 63 ,63,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Namtar,524 2 06 31 5 026,Distribution of NFI,Household kits (excluding tarpaulins), 404 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,,,Distribution of NFI,Household kits (excluding tarpaulins)," 1,596 ",,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,,,Distribution of Shelter Material,Tarpaulin, 825 ,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Namtar,524 2 06 31 5 026,Distribution of Shelter Material,Tarpaulin,808,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,,,Distribution of Shelter Material,Tarpaulin," 3,192 ",,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Namtar,524 2 06 31 5 026,Distribution of Shelter Material,Tool kits and fixings,404,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,,,Distribution of Shelter Material,Tool kits and fixings," 1,596 ",,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Namtar,524 2 06 31 5 026,Cash Distribution,Unconditional Cash," 6,060,000 ",404,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,,,Cash Distribution,Unconditional Cash," 23,940,000 ",1596,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Makawanpur,,Distribution of Shelter Material,Tarpaulin,4,4,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Makawanpur,,Distribution of Shelter Material,Tarpaulin, 1 ,1,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Sukaura,524 2 06 31 5 003,Distribution of Shelter Material,Tarpaulin, 8 ,8,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Thingan,524 2 06 31 5 001,Distribution of Shelter Material,Tarpaulin, 1 ,2,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Thingan,524 2 06 31 5 001,Distribution of Shelter Material,Tarpaulin, 3 ,3,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Thingan,524 2 06 31 5 001,Distribution of Shelter Material,Tarpaulin, 40 ,40,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Kalikatar,524 2 06 31 5 025,Distribution of Shelter Material,Tarpaulin, 1 ,1,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Agra,524 2 06 31 5 032,Distribution of Shelter Material,Blankets,19,19,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Namtar,524 2 06 31 5 026,Distribution of Shelter Material,Blankets, 1 ,1,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bajrabarahi,524 2 06 31 5 035,Distribution of Shelter Material,Blankets, 7 ,7,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Daman,524 2 06 31 5 030,Distribution of Shelter Material,Blankets, 10 ,10,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Gomane,524 2 06 31 5 031,Distribution of Shelter Material,Blankets, 25 ,25,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Palung,524 2 06 31 5 029,Distribution of Shelter Material,Blankets, 40 ,40,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Churemai,524 2 06 31 5 005,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Namtar,524 2 06 31 5 026,Distribution of Shelter Material,Blankets, 20 ,20,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Chitlang,524 2 06 31 5 036,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Markhu,524 2 06 31 5 034,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Phakhel,524 2 06 31 5 040,Distribution of Shelter Material,Blankets, 10 ,10,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Kagate,524 2 06 31 5 042,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Ambhanjyang,524 2 06 31 5 004,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Budhichaur,524 2 06 31 5 015,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Manahari,524 2 06 31 5 021,Distribution of Shelter Material,Blankets, 4 ,4,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Raksirang,524 2 06 31 5 019,Distribution of Shelter Material,Blankets, 3 ,3,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Sarikhetpalase,524 2 06 31 5 018,Distribution of Shelter Material,Blankets, 4 ,4,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Sukaura,524 2 06 31 5 003,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Makawanpur Gadhi,524 2 06 31 5 007,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bhainse,524 2 06 31 5 027,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bhimphedi,524 2 06 31 5 038,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Kulekhani,524 2 06 31 5 037,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Manthali,524 2 06 31 5 002,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Nibuwatar,524 2 06 31 5 039,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Sisneri,524 2 06 31 5 041,Distribution of Shelter Material,Blankets, 40 ,40,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Thingan,524 2 06 31 5 001,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bajrabarahi,524 2 06 31 5 035,Distribution of Shelter Material,Blankets, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Tistung,524 2 06 31 5 033,Distribution of Shelter Material,Blankets, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bajrabarahi,524 2 06 31 5 035,Distribution of Shelter Material,Blankets, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Agra,524 2 06 31 5 032,Distribution of Shelter Material,Tarpaulin, 165 ,165,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Handikhola,524 2 06 31 5 017,Distribution of Shelter Material,Tarpaulin, 30 ,30,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Namtar,524 2 06 31 5 026,Distribution of Shelter Material,Tarpaulin, 15 ,15,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bajrabarahi,524 2 06 31 5 035,Distribution of Shelter Material,Tarpaulin, 84 ,84,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Beteni,524 2 06 31 5 013,Distribution of Shelter Material,Tarpaulin, 70 ,70,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Daman,524 2 06 31 5 030,Distribution of Shelter Material,Tarpaulin, 20 ,20,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Dandakharka,524 2 06 31 5 028,Distribution of Shelter Material,Tarpaulin, 85 ,85,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Gomane,524 2 06 31 5 031,Distribution of Shelter Material,Tarpaulin, 153 ,153,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Palung,524 2 06 31 5 029,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Phaparbari,524 2 06 31 5 012,Distribution of Shelter Material,Tarpaulin, 21 ,21,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Tistung,524 2 06 31 5 033,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Churemai,524 2 06 31 5 005,Distribution of Shelter Material,Tarpaulin, 67 ,67,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Namtar,524 2 06 31 5 026,Distribution of Shelter Material,Tarpaulin, 75 ,75,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Chitlang,524 2 06 31 5 036,Distribution of Shelter Material,Tarpaulin, 108 ,108,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Phakhel,524 2 06 31 5 040,Distribution of Shelter Material,Tarpaulin, 98 ,98,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Kagate,524 2 06 31 5 042,Distribution of Shelter Material,Tarpaulin, 55 ,55,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Ambhanjyang,524 2 06 31 5 004,Distribution of Shelter Material,Tarpaulin, 35 ,35,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Budhichaur,524 2 06 31 5 015,Distribution of Shelter Material,Tarpaulin, 35 ,35,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Manahari,524 2 06 31 5 021,Distribution of Shelter Material,Tarpaulin,35,35,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Raksirang,524 2 06 31 5 019,Distribution of Shelter Material,Tarpaulin,35,35,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Sarikhetpalase,524 2 06 31 5 018,Distribution of Shelter Material,Tarpaulin,35,35,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Sukaura,524 2 06 31 5 003,Distribution of Shelter Material,Tarpaulin,35,35,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Makawanpur Gadhi,524 2 06 31 5 007,Distribution of Shelter Material,Tarpaulin,40,40,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bhainse,524 2 06 31 5 027,Distribution of Shelter Material,Tarpaulin, 40 ,40,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bhimphedi,524 2 06 31 5 038,Distribution of Shelter Material,Tarpaulin, 40 ,40,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Kulekhani,524 2 06 31 5 037,Distribution of Shelter Material,Tarpaulin, 40 ,40,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Manthali,524 2 06 31 5 002,Distribution of Shelter Material,Tarpaulin, 40 ,40,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Nibuwatar,524 2 06 31 5 039,Distribution of Shelter Material,Tarpaulin, 40 ,40,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Sisneri,524 2 06 31 5 041,Distribution of Shelter Material,Tarpaulin, 5 ,5,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Thingan,524 2 06 31 5 001,Distribution of Shelter Material,Tarpaulin, 40 ,40,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Handikhola,524 2 06 31 5 017,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Padampokhari,524 2 06 31 5 022,Distribution of Shelter Material,Tarpaulin, 100 ,100,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bajrabarahi,524 2 06 31 5 035,Distribution of Shelter Material,Tarpaulin, 100 ,100,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Basamadi,524 2 06 31 5 016,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Daman,524 2 06 31 5 030,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Ipa Panchakanya,524 2 06 31 5 043,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Markhu,524 2 06 31 5 034,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Raksirang,524 2 06 31 5 019,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Tistung,524 2 06 31 5 033,Distribution of Shelter Material,Tarpaulin, 100 ,100,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Shripur Chhatiwan,524 2 06 31 5 008,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Bajrabarahi,524 2 06 31 5 035,Distribution of Shelter Material,Tarpaulin, 30 ,30,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Manthali,524 2 06 31 5 002,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Thingan,524 2 06 31 5 001,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Phaparbari,524 2 06 31 5 012,Distribution of Shelter Material,Tarpaulin,10,10,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,,,Distribution of Shelter Material,Blankets, 351 ,351,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Tistung,524 2 06 31 5 033,Cash Distribution,Conditional Cash," 1,226 ",,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Agra,524 2 06 31 5 032,Cash Distribution,Conditional Cash,,,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Tistung,524 2 06 31 5 033,Distribution of Shelter Material,Blankets," 2,766 ",1383,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Agra,524 2 06 31 5 032,Distribution of Shelter Material,Blankets, 700 ,700,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Tistung,524 2 06 31 5 033,Distribution of Shelter Material,CGI Bundle (72ft/bundle)," 1,226 ",614,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Agra,524 2 06 31 5 032,Distribution of Shelter Material,CGI Bundle (72ft/bundle)," 1,005 ",594,Households,,
Shelter NFIs,Makawanpur,524 2 06 31,Tistung,524 2 06 31 5 033,Distribution of NFI,Household kits (excluding tarpaulins), 697 ,697,Households,,
